FID,Eastings,Northings,LST,NDVI,NDMI
441,611452.8903,1365996.004,33.4222984,0.133966,-0.100353
442,632811.7567,1361231.067,35.3636017,0.150745,-0.178708
443,632867.7273,1361075.473,35.7440987,0.11537,-0.183043
444,611744.847,1366339.857,34.1096992,0.100655,-0.136865
445,632486.4209,1361354.243,33.3623009,0.134118,-0.110552
446,611094.4836,1366399.924,33.1641006,0.213483,-0.0592052
447,613344.8426,1356670.967,32.1666985,0.165291,-0.0766326
448,613572.1243,1356962.129,33.4044991,0.135531,-0.147639
449,611810.384,1365954.843,33.8130989,0.0754345,-0.159619
450,611617.0093,1365996.632,33.5089989,0.112036,-0.131925
451,611142.2821,1365904.438,34.7181015,0.131458,-0.102273
452,611333.0562,1366310.155,33.2577019,0.236337,-0.0742988
453,613024.171,1356516.501,34.2729988,0.235552,-0.132783
454,613331.7208,1356937.277,32.9612999,0.115262,-0.154442
455,613023.3904,1356718.973,32.8027992,0.121375,-0.123309
456,613085.7463,1356363.847,33.6665993,0.0715019,-0.135319
457,613595.723,1356355.262,33.3666992,0.131998,-0.157907
458,613368.254,1356252.791,33.6511002,0.108235,-0.15272
459,613668.2371,1356571.951,33.6467018,0.0809203,-0.16345
