FID,Eastings,Northings,LST,NDVI,NDMI
101,665172.4382,1407284.889,29.5806007,0.149351,0.0220954
102,662028.8679,1402460.783,31.5496998,0.281681,0.0690976
103,661903.6993,1402465.709,31.4757004,0.13717,-0.0469018
104,662152.124,1402288.613,32.2722015,0.241687,-0.0757979
105,662145.7739,1402357.593,32.0453987,0.156132,-0.0570216
106,665505.8377,1407284.902,28.2180996,0.223913,-0.0810127
107,665494.7691,1407342.203,29.7798004,0.153719,-0.0953716
108,664880.0493,1407007.319,33.9673996,0.164466,-0.0378122
109,665420.7757,1407266.28,28.3659992,0.211139,0.0477215
110,665114.0622,1407381.32,31.7660999,0.226604,-0.0145859
111,665190.9714,1407400.516,32.0096016,0.23847,-0.0079044
112,665374.5036,1407332.213,31.2812004,0.172725,-0.127506
113,665354.5194,1407415.463,32.3103981,0.134658,-0.0755156
114,665293.8802,1406069.119,33.8527985,0.129244,-0.115205
115,665264.1014,1406174.786,33.4645004,0.116173,-0.142633
116,665418.1902,1406124.355,32.6710014,0.0893989,-0.126584
117,665399.1093,1406041.701,32.8429985,0.130564,-0.114072
118,664744.1464,1406579.552,33.7398987,0.137211,-0.133405
119,664698.3027,1406830.472,33.1128998,0.194236,-0.102369
120,665195.3715,1406263.193,33.4222984,0.156247,-0.114825
121,665019.5449,1406392.714,34.1492996,0.102106,-0.156182
122,664793.4177,1406266.52,31.4661007,0.393846,0.126327
123,664826.3086,1406319.235,31.8470001,0.173172,0.0169519
124,664452.3214,1406058.85,32.8833008,0.106399,-0.0832742
125,664705.6337,1406272.363,32.7625999,0.118022,-0.0985401
126,665293.3434,1406293.999,32.8541985,0.0942886,-0.121627
127,665290.2939,1406191.88,33.0639,0.0883113,-0.182711
128,664949.6672,1406279.888,32.5881996,0.120071,-0.108466
129,665008.795,1406220.801,32.6864014,0.236629,-0.0798221
130,664360.1669,1406099.186,32.9166985,0.184655,-0.113708
131,664396.6589,1406250.46,32.7715988,0.230586,-0.148296
132,662242.9379,1402556.021,32.4313011,0.111782,-0.099167
133,662283.0773,1402564.963,32.5094986,0.275164,-0.0042307
134,664502.1363,1406310.816,33.1530991,0.173074,-0.136664
