FID,Eastings,Northings,No_of_Larv,LST,NDVI,NDMI
440,611162.1749,1366086.882,28,27.3174,0.393881,0.065758
441,611452.8903,1365996.004,19,27.1725998,0.318914,0.0172382
442,632811.7567,1361231.067,16,26.8397007,0.415826,0.0133162
443,632867.7273,1361075.473,25,27.5156002,0.427331,0.0061211
444,611744.847,1366339.857,26,27.2357998,0.284906,-0.0085532
445,632486.4209,1361354.243,8,27.2262001,0.246704,-0.0142929
446,611094.4836,1366399.924,29,26.8959999,0.521843,0.133357
447,613344.8426,1356670.967,30,26.6170006,0.278206,-0.0187826
448,613572.1243,1356962.129,20,26.6660004,0.614786,0.243446
449,611810.384,1365954.843,17,26.3913994,0.153391,-0.084989
450,611617.0093,1365996.632,14,26.1979008,0.458198,0.115702
451,611142.2821,1365904.438,19,25.6161995,0.532002,0.209332
452,611333.0562,1366310.155,23,28.0718994,0.276816,-0.0423343
453,613024.171,1356516.501,15,26.0918007,0.48913,0.0913114
454,613331.7208,1356937.277,12,26.1861992,0.447602,0.0581589
455,613023.3904,1356718.973,20,26.5534,0.50055,0.120053
456,613085.7463,1356363.847,21,26.5981007,0.43878,0.035375
457,613595.723,1356355.262,32,26.8187008,0.371441,-0.0237986
458,613368.254,1356252.791,18,27.2705994,0.344116,-0.0312883
459,613668.2371,1356571.951,20,27.2448997,0.320241,-0.0218957
