FID,Eastings,Northings,No_of_Larv,LST,NDVI,NDMI
124,664452.3214,1406058.85,55,25.3061008,0.367983,0.0669968
125,664705.6337,1406272.363,59,24.8036995,0.224936,-0.0136504
126,665293.3434,1406293.999,56,24.4237995,0.260516,-0.0274411
127,665290.2939,1406191.88,43,24.5625,0.220847,-0.10488
128,664949.6672,1406279.888,56,25.4911003,0.235747,-0.0174579
129,665008.795,1406220.801,32,24.9871006,0.396193,0.0059002
130,664360.1669,1406099.186,57,24.9419994,0.24889,-0.0397862
131,664396.6589,1406250.46,49,24.3400002,0.280663,0.0025162
132,662242.9379,1402556.021,56,26.5158997,0.290698,-0.0077065
133,662283.0773,1402564.963,34,26.4405994,0.423117,0.0611606
134,664502.1363,1406310.816,85,24.8036995,0.283348,0.0392808
135,664496.1361,1406243.292,42,24.8251991,0.267545,0.0249172
136,664338.5432,1406315.226,62,23.9873009,0.317878,0.0342017
137,664448.8867,1406296.123,49,24.6653004,0.208431,-0.0466174
138,661752.4212,1402616.698,43,24.8393002,0.438158,0.0585902
139,661739.4742,1402759.99,21,22.7730999,-0.02124,0.313559
140,662003.5402,1402576.042,58,26.9456997,0.239036,-0.0368118
141,661750.6389,1402554.859,28,25.5004997,0.341562,0.0709833
142,661996.0183,1402787.694,28,26.5300007,0.343578,-0.045887
143,662306.253,1402671.817,49,26.5911999,0.207959,-0.0817144
144,661805.273,1402788.931,56,23.6142006,0.516848,0.151401
145,661846.9229,1402802.822,43,24.9920998,0.198492,0.115009
146,663248.0782,1403718.22,31,25.6285992,0.23893,-0.0535714
147,663261.2852,1403637.626,26,25.3985996,0.288824,-0.0059172
148,663345.4201,1403753.275,43,25.7138996,0.358251,0.0242294
149,663260.5228,1403764.544,43,25.6996994,0.211198,-0.0768748
150,663294.9175,1403583.048,34,25.3796005,0.216406,0.0015272
151,662099.6059,1402614.839,42,26.5606003,0.311515,0.0137282
152,663292.6918,1403675.917,49,25.6025009,0.330719,-0.0631902
153,663310.9636,1403638.217,65,25.5289993,0.442623,0.0595415
